"frame","x [nm]","y [nm]","z [nm]","sigma1 [nm]","sigma2 [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","uncertainty_z [nm]","detections"
448,24587.97144,19325.4206,-306.256,128.8,241.9,4843,103,12.48,6.34,12.68,1
449,24502.81787,19007.62051,23.2752,149,137.8,24338,124,12.48,1.78,3.56,4
457,24084.97532,18502.21985,-94.0013,114.1,160.8,10470,108,12.48,2.62,5.24,2
461,24083.85672,18476.71952,-90.2295,111.4,158.1,25494,116,12.48,1.59,3.18,4
463,24632.37408,19686.11935,-192.568,113.5,193.4,15190,111,12.48,2.65,5.3,3
467,24663.06098,19477.61902,-301.759,110.7,238.1,10852,99,12.48,3.8,7.6,2
467,24746.69012,19113.91902,-65.8488,93.9,134.5,2851,97,12.48,4.32,8.64,1
469,24652.28937,19708.01886,-253.689,125.1,217.7,21608,100,12.48,2.52,5.04,4
471,24996.15411,20051.71869,-57.7084,102.9,136.7,8964,97,12.48,2.35,4.7,2
474,24973.1885,20053.71844,-48.3265,110,137,13141,90,12.48,1.87,3.74,2
478,24689.47859,19766.81811,9.74201,119.4,104.8,21003,116,12.48,1.51,3.02,6
479,23542.85472,17497.91803,-277.961,103.6,226.1,14083,127,12.48,3.43,6.86,3
483,24934.3697,20642.3177,96.5259,167.7,109.9,1497,124,12.48,10.76,21.52,1
485,23677.79819,17707.31753,-179.313,98.9,185.6,7654,112,12.48,3.66,7.32,2
485,25050.82007,20598.11753,62.8381,156.8,120.1,18802,105,12.48,2.2,4.4,6
486,24665.80063,19806.61745,-184.923,104.6,189,22244,113,12.48,2.15,4.3,5
488,23678.30564,17717.01729,-179.916,103.7,186.8,5708,101,12.48,4.58,9.16,2
489,24483.50269,18927.7172,71.6027,155.3,107.5,2752,130,12.48,5.93,11.86,1
490,24132.93074,18468.01712,-323.446,156.8,249.3,6974,94,12.48,5.2,10.4,1
507,24707.76325,20181.01571,-177.291,115.6,188.6,12513,105,12.48,2.97,5.94,3
511,24672.90848,20150.51538,-239.674,144.4,211.4,5874,107,12.48,6.14,12.28,2
515,24710.70842,20246.31505,-49.2961,121.7,147.7,3493,111,12.48,4.81,9.62,1
515,24852.05489,19526.81505,-79.877,97.8,145.2,1437,93,12.48,8.01,16.02,1
516,24666.81054,19956.11497,-325.766,158.9,250.5,24609,110,12.48,2.79,5.58,3
519,24562.24808,19768.61472,179.152,205.1,143.9,4315,121,12.48,6.33,12.66,1
520,24730.42069,19663.81464,29.9986,164.7,162.2,2550,105,12.48,8.18,16.36,1
521,24844.94059,19549.41456,-133.509,105.7,171.3,3559,102,12.48,6.15,12.3,2
522,25143.18041,20682.31447,105.528,167.7,98.9,4438,121,12.48,4.21,8.42,1
522,24136.88706,18384.21447,-269.556,104.6,222.9,3634,104,12.48,6.75,13.5,1
523,25278.12492,20850.41439,23.778,141.7,125.7,10608,135,12.48,2.57,5.14,2
524,24852.86594,19546.31431,-44.8662,107.9,133.5,5541,97,12.48,4.06,8.12,4
525,23598.02209,17806.31423,-265.791,119.6,222.9,7783,106,12.48,3.94,7.88,1
529,23580.03541,17768.11389,-256.402,105.7,217.2,16818,129,12.48,2.86,5.72,3
529,24842.19532,19558.41389,-76.0373,107.6,149.7,10380,98,12.48,3.27,6.54,7
532,24563.97283,18923.81365,0.74743,125.5,120.7,12680,111,12.48,2.1,4.2,3
534,27777.44517,20069.11348,50.689,138.3,95.2,2404,89,12.48,6.06,12.12,2
539,24457.47885,18883.61307,104.396,171.4,111,7012,102,12.48,3.65,7.3,2
545,25183.82162,20532.31257,55.7566,145.5,104,6737,99,12.48,3.07,6.14,2
564,23714.36315,17567.611,-277.384,118.7,228.2,34859,104,12.48,1.85,3.7,4
569,23655.22218,17724.91058,-101.354,91.2,151.6,1365,102,12.48,8.78,17.56,1
570,25139.20744,20560.3105,209.455,216.7,156.7,4673,102,12.48,6.25,12.5,1
571,24574.63429,19182.51042,38.4584,136.1,103.7,2190,102,12.48,5.67,11.34,1
593,24117.15898,18715.7086,-59.3758,114.7,147.3,1419,94,12.48,9.03,18.06,1
